documento_codigo,documento_version,estado_documento,fecha,propietario,rf_id,cp_id,suite_documento,prioridad,automatizacion_objetivo,estado_ejecucion,evidencia_esperada
GDP-TST-009,0.1,Borrador,2026-07-16,[LIDER_QA],RF-DOC-015,CP-MTN-002,14_Plan_Pruebas_Multitenant.md,P0,Integracion-RLS,No ejecutado,junit+query-evidence
GDP-TST-009,0.1,Borrador,2026-07-16,[LIDER_QA],RF-DOC-016,CP-SEG-009,04_Casos_Prueba_Seguridad.md,P0,API-seguridad,No ejecutado,junit+audit
GDP-TST-009,0.1,Borrador,2026-07-16,[LIDER_QA],RF-AUD-001,CP-CON-006,08_Casos_Prueba_Integraciones.md,P0,Mensajeria-inbox,No ejecutado,junit+broker-trace
GDP-TST-009,0.1,Borrador,2026-07-16,[LIDER_QA],RF-AUD-002,CP-SEG-010,04_Casos_Prueba_Seguridad.md,P0,API-seguridad,No ejecutado,junit+audit
GDP-TST-009,0.1,Borrador,2026-07-16,[LIDER_QA],RF-AUD-003,CP-PRI-001,05_Casos_Prueba_Privacidad.md,P1,API-privacidad,No ejecutado,junit+evidence
GDP-TST-009,0.1,Borrador,2026-07-16,[LIDER_QA],RF-AUD-004,CP-PRI-002,05_Casos_Prueba_Privacidad.md,P1,API-privacidad,No ejecutado,junit+evidence
GDP-TST-009,0.1,Borrador,2026-07-16,[LIDER_QA],RF-AUD-005,CP-PRI-003,05_Casos_Prueba_Privacidad.md,P0,Workflow-privacidad,No ejecutado,junit+decision-history
GDP-TST-009,0.1,Borrador,2026-07-16,[LIDER_QA],RF-NIN-001,CP-INT-001,08_Casos_Prueba_Integraciones.md,P1,MSW-integracion,No ejecutado,junit+provider-mock
GDP-TST-009,0.1,Borrador,2026-07-16,[LIDER_QA],RF-NIN-002,CP-INT-002,08_Casos_Prueba_Integraciones.md,P1,Broker-integracion,No ejecutado,junit+DLQ-metrics
GDP-TST-009,0.1,Borrador,2026-07-16,[LIDER_QA],RF-OPS-001,CP-FUN-039,03_Casos_Prueba_Funcionales.md,P1,API-E2E,No ejecutado,junit+artifact
GDP-TST-009,0.1,Borrador,2026-07-16,[LIDER_QA],RF-OPS-002,CP-REC-001,13_Plan_Pruebas_Backup.md,P0,Operacion-recuperacion,No ejecutado,manifest+checksum
GDP-TST-009,0.1,Borrador,2026-07-16,[LIDER_QA],RF-OPS-003,CP-REC-002,12_Plan_Pruebas_Recuperacion.md,P0,Operacion-recuperacion,No ejecutado,restore-report+RPO-RTO
GDP-TST-009,0.1,Borrador,2026-07-16,[LIDER_QA],RF-AUD-006,CP-SEG-011,04_Casos_Prueba_Seguridad.md,P0,API-seguridad,No ejecutado,junit+incident
GDP-TST-009,0.1,Borrador,2026-07-16,[LIDER_QA],RF-OPS-004,CP-MTN-003,14_Plan_Pruebas_Multitenant.md,P0,E2E-multitenant,No ejecutado,manifest+playwright+audit
