documento_codigo,documento_version,documento_estado,fecha,propietario,revisores,aprobador,rf_id,objetivo_id,regla_id,criterio_aceptacion_id,caso_prueba_id,evento_comando,riesgo,estado_trazabilidad,observaciones
GDP-REQ-009,1.0,Aprobado,2026-08-05,Álvaro Patiño Cruz,David Ernesto Antequera Martínez|Álvaro Patiño Cruz,Wilmar Betancur Valencia,RF-DOC-007,OBJ-005,RN-DOC-002,CA-DOC-007,CP-SEG-006,EVT-021|EVT-031,RSK-005,Completa,Cuarentena
GDP-REQ-009,1.0,Aprobado,2026-08-05,Álvaro Patiño Cruz,David Ernesto Antequera Martínez|Álvaro Patiño Cruz,Wilmar Betancur Valencia,RF-DOC-008,OBJ-005,RN-DOC-004,CA-DOC-008,CP-FUN-014,EVT-022,RSK-005,Completa,Hash
GDP-REQ-009,1.0,Aprobado,2026-08-05,Álvaro Patiño Cruz,David Ernesto Antequera Martínez|Álvaro Patiño Cruz,Wilmar Betancur Valencia,RF-DOC-009,OBJ-005,RN-DOC-004,CA-DOC-009,CP-CON-001,EVT-009,RSK-005,Completa,Version
GDP-REQ-009,1.0,Aprobado,2026-08-05,Álvaro Patiño Cruz,David Ernesto Antequera Martínez|Álvaro Patiño Cruz,Wilmar Betancur Valencia,RF-DOC-010,OBJ-005|OBJ-007,RN-DOC-005,CA-DOC-010,CP-SEG-007,EVT-021,RSK-005,Completa,Malware
GDP-REQ-009,1.0,Aprobado,2026-08-05,Álvaro Patiño Cruz,David Ernesto Antequera Martínez|Álvaro Patiño Cruz,Wilmar Betancur Valencia,RF-DOC-011,OBJ-001,RN-DOC-006,CA-DOC-011,CP-FUN-015,EVT-011,RSK-003,Completa,Expediente
GDP-REQ-009,1.0,Aprobado,2026-08-05,Álvaro Patiño Cruz,David Ernesto Antequera Martínez|Álvaro Patiño Cruz,Wilmar Betancur Valencia,RF-DOC-012,OBJ-001,RN-DOC-006,CA-DOC-012,CP-CON-002,EVT-012,RSK-003,Completa,Incorporacion
GDP-REQ-009,1.0,Aprobado,2026-08-05,Álvaro Patiño Cruz,David Ernesto Antequera Martínez|Álvaro Patiño Cruz,Wilmar Betancur Valencia,RF-DOC-013,OBJ-006,RN-DOC-006,CA-DOC-013,CP-FUN-017,,RSK-014,Completa,Indice
GDP-REQ-009,1.0,Aprobado,2026-08-05,Álvaro Patiño Cruz,David Ernesto Antequera Martínez|Álvaro Patiño Cruz,Wilmar Betancur Valencia,RF-DOC-014,OBJ-001|OBJ-005,RN-DOC-007,CA-DOC-014,CP-FUN-018,EVT-013,RSK-005,Completa,Cierre
GDP-REQ-009,1.0,Aprobado,2026-08-05,Álvaro Patiño Cruz,David Ernesto Antequera Martínez|Álvaro Patiño Cruz,Wilmar Betancur Valencia,RF-COR-001,OBJ-002,RN-COR-001|RN-COR-002,CA-COR-001,CP-CON-003,EVT-016|EVT-017,RSK-013,Completa,Entrada
GDP-REQ-009,1.0,Aprobado,2026-08-05,Álvaro Patiño Cruz,David Ernesto Antequera Martínez|Álvaro Patiño Cruz,Wilmar Betancur Valencia,RF-COR-002,OBJ-002,RN-COR-001|RN-COR-002,CA-COR-002,CP-CON-004,EVT-016|EVT-017,RSK-013,Completa,Salida
GDP-REQ-009,1.0,Aprobado,2026-08-05,Álvaro Patiño Cruz,David Ernesto Antequera Martínez|Álvaro Patiño Cruz,Wilmar Betancur Valencia,RF-COR-003,OBJ-002,RN-COR-001,CA-COR-003,CP-CON-005,EVT-016,RSK-013,Completa,Consecutivo
GDP-REQ-009,1.0,Aprobado,2026-08-05,Álvaro Patiño Cruz,David Ernesto Antequera Martínez|Álvaro Patiño Cruz,Wilmar Betancur Valencia,RF-COR-004,OBJ-002,RN-COR-003,CA-COR-004,CP-FUN-022,,RSK-013,Completa,Comprobante
GDP-REQ-009,1.0,Aprobado,2026-08-05,Álvaro Patiño Cruz,David Ernesto Antequera Martínez|Álvaro Patiño Cruz,Wilmar Betancur Valencia,RF-COR-005,OBJ-002,RN-COR-004,CA-COR-005,CP-FUN-023,EVT-018,RSK-013,Completa,Distribucion
GDP-REQ-009,1.0,Aprobado,2026-08-05,Álvaro Patiño Cruz,David Ernesto Antequera Martínez|Álvaro Patiño Cruz,Wilmar Betancur Valencia,RF-COR-006,OBJ-002|OBJ-006,RN-COR-004,CA-COR-006,CP-SEG-008,,RSK-001,Completa,Estado
GDP-REQ-009,1.0,Aprobado,2026-08-05,Álvaro Patiño Cruz,David Ernesto Antequera Martínez|Álvaro Patiño Cruz,Wilmar Betancur Valencia,RF-DOC-015,OBJ-006,RN-IAM-001,CA-DOC-015,CP-MTN-002,,RSK-014,Completa,Busqueda
GDP-REQ-009,1.0,Aprobado,2026-08-05,Álvaro Patiño Cruz,David Ernesto Antequera Martínez|Álvaro Patiño Cruz,Wilmar Betancur Valencia,RF-DOC-016,OBJ-003|OBJ-006,RN-IAM-001,CA-DOC-016,CP-SEG-009,,RSK-001,Completa,Consulta
GDP-REQ-009,1.0,Aprobado,2026-08-05,Álvaro Patiño Cruz,David Ernesto Antequera Martínez|Álvaro Patiño Cruz,Wilmar Betancur Valencia,RF-AUD-001,OBJ-007,RN-AUD-001|RN-AUD-002,CA-AUD-001,CP-CON-006,EVT-032,RSK-011,Completa,Evento
GDP-REQ-009,1.0,Aprobado,2026-08-05,Álvaro Patiño Cruz,David Ernesto Antequera Martínez|Álvaro Patiño Cruz,Wilmar Betancur Valencia,RF-AUD-002,OBJ-007,RN-AUD-002,CA-AUD-002,CP-SEG-010,,RSK-011,Completa,Consulta auditoria
GDP-REQ-009,1.0,Aprobado,2026-08-05,Álvaro Patiño Cruz,David Ernesto Antequera Martínez|Álvaro Patiño Cruz,Wilmar Betancur Valencia,RF-AUD-003,OBJ-007,RN-PRI-001,CA-AUD-003,CP-PRI-001,EVT-026,RSK-002,Completa,Consentimiento
GDP-REQ-009,1.0,Aprobado,2026-08-05,Álvaro Patiño Cruz,David Ernesto Antequera Martínez|Álvaro Patiño Cruz,Wilmar Betancur Valencia,RF-AUD-004,OBJ-008,RN-PRI-002,CA-AUD-004,CP-PRI-002,,RSK-004,Completa,Solicitud titular
GDP-REQ-009,1.0,Aprobado,2026-08-05,Álvaro Patiño Cruz,David Ernesto Antequera Martínez|Álvaro Patiño Cruz,Wilmar Betancur Valencia,RF-AUD-005,OBJ-008,RN-PRI-002,CA-AUD-005,CP-PRI-003,EVT-027,RSK-004,Completa,Estado titular
GDP-REQ-009,1.0,Aprobado,2026-08-05,Álvaro Patiño Cruz,David Ernesto Antequera Martínez|Álvaro Patiño Cruz,Wilmar Betancur Valencia,RF-NIN-001,OBJ-002|OBJ-008,RN-NIN-001,CA-NIN-001,CP-INT-001,CMD-006|EVT-029,RSK-010,Completa,Correo
GDP-REQ-009,1.0,Aprobado,2026-08-05,Álvaro Patiño Cruz,David Ernesto Antequera Martínez|Álvaro Patiño Cruz,Wilmar Betancur Valencia,RF-NIN-002,OBJ-009,RN-NIN-001,CA-NIN-002,CP-INT-002,EVT-029,RSK-010,Completa,Reintento
GDP-REQ-009,1.0,Aprobado,2026-08-05,Álvaro Patiño Cruz,David Ernesto Antequera Martínez|Álvaro Patiño Cruz,Wilmar Betancur Valencia,RF-OPS-001,OBJ-006,RN-IAM-001,CA-OPS-001,CP-FUN-039,,RSK-014,Completa,Reporte
GDP-REQ-009,1.0,Aprobado,2026-08-05,Álvaro Patiño Cruz,David Ernesto Antequera Martínez|Álvaro Patiño Cruz,Wilmar Betancur Valencia,RF-OPS-002,OBJ-009,RN-OPS-001,CA-OPS-002,CP-REC-001,,RSK-010,Completa,Backup
GDP-REQ-009,1.0,Aprobado,2026-08-05,Álvaro Patiño Cruz,David Ernesto Antequera Martínez|Álvaro Patiño Cruz,Wilmar Betancur Valencia,RF-OPS-003,OBJ-009,RN-OPS-001,CA-OPS-003,CP-REC-002,,RSK-015,Completa,Restore
GDP-REQ-009,1.0,Aprobado,2026-08-05,Álvaro Patiño Cruz,David Ernesto Antequera Martínez|Álvaro Patiño Cruz,Wilmar Betancur Valencia,RF-AUD-006,OBJ-007|OBJ-009,RN-AUD-001,CA-AUD-006,CP-SEG-011,EVT-028,RSK-011,Completa,Incidente
GDP-REQ-009,1.0,Aprobado,2026-08-05,Álvaro Patiño Cruz,David Ernesto Antequera Martínez|Álvaro Patiño Cruz,Wilmar Betancur Valencia,RF-OPS-004,OBJ-003|OBJ-008,RN-OPS-002,CA-OPS-004,CP-MTN-003,,RSK-001|RSK-004,Completa,Exportacion
