id,ruta,nombre,tipo,codigo,version,estado,fecha,propietario,aprobador,registrado_indice,registrado_control_cambios,fuente_heredada,documentos_referenciados,referenciado_por,clasificacion,hallazgos,accion_recomendada
INV-011,00_Gestion_Proyecto/,08_Registro_Decisiones_Arquitectura.md,MD,GDP-GPR-008,1.0,Borrador,2026-08-05,[ARQUITECTO],[COMITE_ARQUITECTURA],Si,Si,No,"ADR-011..021 y relacionadas","ADR-011..021, 03_Arquitectura",Registro ADR,Todas decisiones aprobadas registradas,Mantener; agregar nuevas ADR si aplican
INV-012,00_Gestion_Proyecto/,09_Riesgos_Proyecto.csv,CSV,GDP-GPR-009,0.1,Borrador,2026-08-05,[RESPONSABLE_SEGURIDAD],[PRODUCT_OWNER],Si,Si,No,"12 riesgos, RSK-001..012","00_Diagnostico, 13_Plan_Gestion_Riesgos",Matriz de riesgos,Riesgos identificados y mitigaciones iniciales,Validar riesgos Fase 1; aplicar mitigaciones
INV-013,00_Gestion_Proyecto/,10_Hoja_Ruta_Producto.md,MD,GDP-GPR-010,0.1,Borrador,2026-08-05,[PRODUCT_OWNER],[PATROCINADOR],Si,Si,No,"Fases 1-3, módulos priorizados","02_Alcance, 03_Objetivos",Roadmap de producto,Fases y dependencias claras; sin fechas,Agregar hitos y fechas Fase 1
INV-014,00_Gestion_Proyecto/,11_Plan_Gestion_Configuracion.md,MD,GDP-GPR-011,0.1,Borrador,2026-08-05,[RESPONSABLE_DOCUMENTACION],[PROJECT_MANAGER],Si,Si,No,"Versionamiento, baseline","07_Control_Cambios, 00_Indice",Gestión de configuración,Estructura mínima de control,Completar políticas Fase 1
INV-015,00_Gestion_Proyecto/,12_Plan_Gestion_Cambios.md,MD,GDP-GPR-012,0.1,Borrador,2026-08-05,[PROJECT_MANAGER],[PRODUCT_OWNER],Si,Si,No,"Proceso de cambios documentales","07_Control_Cambios, 11_Plan_Gestion_Configuracion",Gestión de cambios,Proceso definido,Operacionalizar Fase 1
INV-016,00_Gestion_Proyecto/,13_Plan_Gestion_Riesgos.md,MD,GDP-GPR-013,0.1,Borrador,2026-08-05,[RESPONSABLE_SEGURIDAD],[PRODUCT_OWNER],Si,Si,No,"12 riesgos y mitigaciones","09_Riesgos_Proyecto, 00_Diagnostico",Gestión de riesgos,Estrategia de tratamiento de riesgos,Aplicar mitigaciones Fase 1+
INV-017,00_Gestion_Proyecto/,14_Plan_Comunicaciones.md,MD,GDP-GPR-014,0.1,Borrador,2026-08-05,[PROJECT_MANAGER],[PATROCINADOR],Si,Si,No,"Canales, frecuencias","04_Interesados, 05_Matriz_RACI",Plan de comunicaciones,Estructura inicial de comunicación,Completar canales específicos Fase 1
INV-018,00_Gestion_Proyecto/,15_Criterios_Gate_Inicio_Desarrollo.md,MD,GDP-GPR-015,0.2,Evaluación inicial,2026-08-05,[LIDER_QA],[PRODUCT_OWNER],Si,Si,No,"7 gates (G1-G7), criterios entrada/salida","16_Baseline_Tecnico_G7, 00_Plan",Criterios de gate,Gates bloquean avance; criterios claros,Validar G1 antes Fase 2
INV-019,00_Gestion_Proyecto/,16_Baseline_Tecnico_G7.md,MD,GDP-GPR-016,0.1,Parcial,2026-08-05,[LIDER_OPERACIONES],[ARQUITECTO],Si,Si,No,"Workspace Node.js, lockfile, verificaciones","15_Criterios_Gate, ADR-012",Baseline técnico G7,Workspace inicializado; verificaciones pendientes,Completar verificaciones Fase 1
INV-020,00_Gestion_Proyecto/,00_Analisis_Contenido_Existente.md,MD,GDP-ANA-000,1.0,Borrador,2026-08-05,[RESPONSABLE_DOCUMENTACION],[PRODUCT_OWNER],No,Si,No,"93 archivos, 11 ADR, 42 RF, 21 RNF","00_Diagnostico, 00_Indice, 00_Plan",Análisis nuevo (sesión anterior),Documento nuevo; proporciona diagnóstico profundo,Registrar en próxima versión índice
INV-021,00_Gestion_Proyecto/,01_Inventario_Fase1_Diagnostico.md,MD,GDP-INV-F1-001,1.0,Completo,2026-08-05,[RESPONSABLE_DOCUMENTACION],[PRODUCT_OWNER],Si,Si,No,"93 archivos, 78 existentes, 69 pendientes, 11 ADR","00_Indice, 07_Control_Cambios",Inventario Fase 1,Resultado de Fase 1 actual,Registrar en índice próxima actualización
INV-022,00_Gestion_Proyecto/,00_Inventario_Archivos_Fase1.csv,CSV,GDP-INV-F1-002,1.0,Completo,2026-08-05,[RESPONSABLE_DOCUMENTACION],[PRODUCT_OWNER],Si,Si,No,"93 registros de archivos","01_Inventario_Fase1_Diagnostico",Inventario CSV,Matriz detallada de todos archivos,Mantener; actualizar próxima auditoría
INV-023,01_Requisitos/,01_ERS_SRS_Gestion_Documental.md,MD,GDP-REQ-001,0.1,Borrador para validación,2026-07-16,[ANALISTA_REQUISITOS],[PRODUCT_OWNER],Si,Si,No,"Actores, supuestos, reglas, CU iniciales","02_Catalogo_RF, 05_Actores_Roles",ERS/SRS inicial,Visión de producto clara,Enriquecer con casos de uso Fase 2
INV-024,01_Requisitos/,02_Catalogo_Requisitos_Funcionales.md,MD,GDP-REQ-002,0.1,Borrador para validación,2026-07-16,[ANALISTA_REQUISITOS],[PRODUCT_OWNER],Si,Si,No,"42 RF: IAM, DOC, COR, AUD, OPS","09_Matriz_Trazabilidad, 03_Criterios_Aceptacion, *_Casos_Prueba",Catálogo RF,42 requisitos atómicos, trazables, con criterios,Validar con Product Owner Fase 1
INV-025,01_Requisitos/,03_Catalogo_Requisitos_No_Funcionales.md,MD,GDP-REQ-003,0.1,Borrador medible,2026-07-16,[ARQUITECTO],[PRODUCT_OWNER],Si,Si,No,"21 RNF: seguridad, privacidad, rendimiento, etc.","RNF-SEG-001..COM-001, *_Casos_Prueba","Catálogo RNF medible","21 RNF con métricas; umbrales OPV (pendientes cliente)","Validar umbrales Fase 1 con cliente piloto
INV-026,01_Requisitos/,04_Reglas_Negocio.md,MD,GDP-REQ-004,0.1,Borrador para validación,2026-07-16,[LIDER_ARCHIVISTICO],[PRODUCT_OWNER],Si,Si,No,"Reglas por dominio: documentos, identidad, correspondencia, cumplimiento","RF-*, 08_Criterios_Aceptacion",Reglas de negocio,Reglas que rigen comportamiento de RF,Validar con negocio Fase 2
INV-027,01_Requisitos/,05_Actores_Roles_Permisos.md,MD,GDP-REQ-005,0.1,Borrador para validación,2026-07-16,[RESPONSABLE_SEGURIDAD],[PRODUCT_OWNER],Si,Si,No,"9 actores, permisos, delegaciones","RF-IAM-*, 06_Glosario",Matriz actores y permisos,9 actores definidos; permisos claros,Usar en diseño de seguridad Fase 3+
INV-028,01_Requisitos/,08_Criterios_Aceptacion.md,MD,GDP-REQ-008,0.1,Borrador para validación,2026-07-16,[LIDER_QA],[PRODUCT_OWNER],Si,Si,No,"42 casos Gherkin; casos rechazo","RF-*, 03_Casos_Prueba_Funcionales",Criterios de aceptación,Criterios claros por RF; formato Gherkin,Materializar en automatización Fase 6
INV-029,01_Requisitos/,09_Matriz_Trazabilidad.csv,CSV,GDP-REQ-009,0.1,Borrador,2026-07-16,[LIDER_QA],[PRODUCT_OWNER],Si,Si,No,"42 RF × OBJ, HU, CU, RN, RNF, ENT, EP, EVT, CP","RF-IAM/DOC/COR/AUD/OPS, 03_Casos_Prueba",Trazabilidad RF,42 RF × 7+ dimensiones; cobertura completa,Mantener; actualizar con nuevos RF
INV-030,01_Requisitos/,15_Supuestos_Restricciones.md,MD,GDP-REQ-015,0.1,Borrador,2026-07-16,[PRODUCT_OWNER],[PATROCINADOR],Si,Si,No,"15 SUP, 12 RES","02_Alcance, 00_Diagnostico",Supuestos y restricciones,15 supuestos sin validar; 12 restricciones documentadas,Validar supuestos Fase 1
INV-031,02_Analisis/,13_Perfil_Capacidad_Operacion.md,MD,GDP-ANA-013,0.1,Borrador,2026-07-16,[RESPONSABLE_DATOS],[LIDER_OPERACIONES],Si,Si,No,"Volumen, SLA, capacidad esperada (PENDIENTES)","RNF-CAP-001, RNF-REN-001, RNF-DIS-001",Perfil capacidad,Estructura lista; valores OPV sin datos reales,Completar con volúmenes Fase 1
INV-032,03_Arquitectura/,03_Vista_Contexto_C4.md,MD,GDP-ARQ-003,0.1,Borrador,2026-07-16,[ARQUITECTO],[COMITE_ARQUITECTURA],Si,Si,No,"Sistema, actores externos, sistemas externos","04_Vista_Contenedores",Contexto C4 (Nivel 1),Diagrama de contexto inicial,Enriquecer con integraciones Fase 3
INV-033,03_Arquitectura/,04_Vista_Contenedores_C4.md,MD,GDP-ARQ-004,0.1,Borrador,2026-07-16,[ARQUITECTO],[COMITE_ARQUITECTURA],Si,Si,No,"Frontend, Gateway, 6 servicios, BD, colas, S3, Keycloak","05_Vista_Componentes, 02_Modelo_Conceptual",Contenedores C4 (Nivel 2),Descomposición en servicios clara,Validar en POC-001 Fase 2
INV-034,03_Arquitectura/,05_Vista_Componentes_C4.md,MD,GDP-ARQ-005,0.1,Borrador para validación,2026-07-16,[ARQUITECTO],[COMITE_ARQUITECTURA],Si,Si,No,"6 macroservicios + componentes internos","03_Vista_Contexto, 04_Vista_Contenedores",Componentes C4 (Nivel 3),6 servicios (IAM, DOC, COR, PROC, AUD, NIN) con arquitectura clara,Implementar conforme POC-001 aprobada
INV-035,03_Arquitectura/,15_Modelo_Amenazas.md,MD,GDP-ARQ-015,0.1,Borrador para revisión seguridad,2026-07-16,[RESPONSABLE_SEGURIDAD],[RESPONSABLE_SEGURIDAD],Si,Si,No,"STRIDE: identificar amenazas por servicio/datos","07_Seguridad_Privacidad/* (Fase 5+)","Modelo STRIDE",STRIDE aplicado; riesgos identificados,Validación especializada de seguridad Fase 3+
INV-036,03_Arquitectura/,16_Mapa_Dominios.md,MD,GDP-ARQ-016,0.1,Borrador,2026-07-16,[ARQUITECTO],[COMITE_ARQUITECTURA],Si,Si,No,"6 dominios y límites conceptuales","01_Modelo_Conceptual, 05_Vista_Componentes",Mapa de dominios,Contextos explícitos; límites claros,Usar para DDD implementación Fase 5
INV-037,03_Arquitectura/,17_Matriz_Responsabilidades_Propiedad_Datos.csv,CSV,GDP-ARQ-017,0.1,Borrador,2026-07-16,[ARQUITECTO],[COMITE_ARQUITECTURA],Si,Si,No,"6 servicios × 20+ entidades = propiedad","02_Modelo_Logico, 15_Modelo_Multitenant",Propiedad de datos,Matriz de fuentes de verdad explícita,Aplicar en POC-001; validar RLS
INV-038,03_Arquitectura/,18_Catalogo_Eventos_Comunicaciones.md,MD,GDP-ARQ-018,0.1,Borrador,2026-07-16,[ARQUITECTO],[COMITE_ARQUITECTURA],Si,Si,No,"32 EVT + 7 CMD entre servicios","AsyncAPI, 19_Estrategia_Consistencia","Catálogo de eventos",32 eventos versionados; payloads claros,Implementar conforme EventBridge/RabbitMQ
INV-039,03_Arquitectura/,19_Estrategia_Consistencia_Distribuida.md,MD,GDP-ARQ-019,0.1,Borrador para validación,2026-07-16,[ARQUITECTO],[COMITE_ARQUITECTURA],Si,Si,No,"Outbox, Inbox, Idempotencia, Sagas, Compensación","ADR-014, 18_Catalogo_Eventos, 10_Procesamiento_Asincrono",Consistencia distribuida,Patrones de consistencia eventual claros,Implementar en Fase 5; validar POC-002
INV-040,03_Arquitectura/,20_Plan_Pruebas_Concepto.md,MD,GDP-ARQ-020,0.5,Borrador; no autoriza desarrollo,2026-07-16,[ARQUITECTO],[COMITE_ARQUITECTURA],Si,Si,No,"POC-001: multitenant (10 casos); POC-002: carga (21 casos)","15_Modelo_Multitenant, 10_Procesamiento_Asincrono","POC bloqueantes",POC-001 y POC-002 diseñadas; no ejecutadas,Ejecutar POC en paralelo Fase 2
INV-041,03_Arquitectura/,21_Matriz_ADR_Documentos.md,MD,GDP-ARQ-021,0.1,Borrador controlado,2026-07-16,[ARQUITECTO],[COMITE_ARQUITECTURA],Si,Si,No,"11 ADR × documentos que implementan","ADR-011..021","Matriz ADR-Documentos",Vinculación de ADR a implementación clara,Actualizar conforme nuevas ADR
INV-042,03_Arquitectura/,22_Catalogo_Maestro_Stack_Versiones.md,MD,GDP-ARQ-022,0.1,Borrador controlado,2026-07-16,[ARQUITECTO],[LIDER_OPERACIONES],Si,Si,No,"Todas dependencias con versiones fijadas","ADR-012, 16_Baseline_Tecnico_G7","Stack del proyecto",Node.js 24 LTS, TypeScript, NestJS, React, PostgreSQL, etc. fijados,Usar como SBOM; mantener actualizado
INV-043,03_Arquitectura/,ADR-011_Arquitectura_Distribuida_Macroservicios.md,MD,ADR-011,1.0,Aprobado,2026-07-16,[COMITE_ARQUITECTURA],[COMITE_ARQUITECTURA],Si,Si,No,"6 macroservicios: IAM, DOC, COR, PROC, AUD, NIN","04_Vista_Contenedores, 05_Vista_Componentes, 16_Mapa_Dominios","ADR-011 Aprobada","Arquitectura distribuida por dominio; decisión vigente","Línea base; no requiere cambios
INV-044,03_Arquitectura/,ADR-012_Stack_Tecnologico_Base.md,MD,ADR-012,1.0,Aprobado,2026-07-16,[COMITE_ARQUITECTURA],[COMITE_ARQUITECTURA],Si,Si,No,"Node.js 24, TypeScript, NestJS, React, Vite, PostgreSQL","22_Catalogo_Maestro, 02_Alcance","ADR-012 Aprobada","Stack tecnológico fijado; respaldado por requisitos","Línea base; no requiere cambios
INV-045,03_Arquitectura/,ADR-013_Autenticacion_Keycloak_OIDC_OAuth2.md,MD,ADR-013,1.0,Aprobado,2026-07-16,[COMITE_ARQUITECTURA],[COMITE_ARQUITECTURA],Si,Si,No,"Keycloak, OIDC, OAuth 2.0, Authorization Code + PKCE, MFA","06_Autenticacion_Autorizacion, RF-IAM-*","ADR-013 Aprobada","Autenticación centralizada con Keycloak; MFA obligatorio","Línea base; crítica para seguridad
INV-046,03_Arquitectura/,ADR-014_Mensajeria_AWS_EventBridge_SQS.md,MD,ADR-014,1.0,Aprobado,2026-07-16,[COMITE_ARQUITECTURA],[COMITE_ARQUITECTURA],Si,Si,No,"EventBridge, SQS para SaaS; RabbitMQ para privado","ADR-021, 18_Catalogo_Eventos, 19_Estrategia_Consistencia","ADR-014 Aprobada","Mensajería AWS para SaaS; alternativa privada","Línea base; crítica para asincronía
INV-047,03_Arquitectura/,ADR-015_Acceso_PostgreSQL_Migraciones.md,MD,ADR-015,1.0,Aprobado,2026-07-16,[COMITE_ARQUITECTURA],[COMITE_ARQUITECTURA],Si,Si,No,"Kysely, pg, node-pg-migrate, RLS, contexto tenant","02_Modelo_Logico, 15_Modelo_Multitenant, 11_Estrategia_Migraciones","ADR-015 Aprobada","Acceso a PostgreSQL con ORM ligero y migraciones versionadas","Línea base; crítica para datos
INV-048,03_Arquitectura/,ADR-016_Almacenamiento_Objetos_S3_MinIO.md,MD,ADR-016,1.0,Aprobado,2026-07-16,[COMITE_ARQUITECTURA],[COMITE_ARQUITECTURA],Si,Si,No,"S3 para SaaS, MinIO para privado, cuarentena, WORM","RFC-DOC-005..010, 10_Procesamiento_Asincrono","ADR-016 Aprobada","Almacenamiento distribuido con cuarentena de cargas","Línea base; crítica para seguridad documental
INV-049,03_Arquitectura/,ADR-017_Validacion_Backend_Contratos_Errores.md,MD,ADR-017,1.0,Aprobado,2026-07-16,[COMITE_ARQUITECTURA],[COMITE_ARQUITECTURA],Si,Si,No,"Validación en 3 capas, RFC 9457 Problem Details","03_Convenciones_API, 07_Gestion_Errores, 04_Especificacion_OpenAPI.yaml","ADR-017 Aprobada","Validación backend distribuida; errores estructurados RFC 9457","Línea base; crítica para contrato API
INV-050,03_Arquitectura/,ADR-018_Librerias_Arquitectura_Frontend.md,MD,ADR-018,1.0,Aprobado,2026-07-16,[COMITE_ARQUITECTURA],[COMITE_ARQUITECTURA],Si,Si,No,"React, TypeScript, Vite, Tailwind, Shadcn/ui, etc.","06_Frontend/* (Fase 5+)","ADR-018 Aprobada","Frontend SPA con stack moderno; Vite para build","Línea base; crítica para desarrollo frontend
INV-051,03_Arquitectura/,ADR-019_Estrategia_Pruebas_Automatizadas.md,MD,ADR-019,1.0,Aprobado,2026-07-16,[COMITE_ARQUITECTURA],[COMITE_ARQUITECTURA],Si,Si,No,"Vitest, Supertest, Testcontainers, Playwright, k6, ZAP, axe","01_Estrategia_Pruebas, 02_Plan_Pruebas, *_Casos_Prueba","ADR-019 Aprobada","Estrategia de pruebas multicapa; cobertura y automatización completa","Línea base; crítica para calidad
INV-052,03_Arquitectura/,ADR-020_Observabilidad_OpenTelemetry.md,MD,ADR-020,1.0,Aprobado,2026-07-16,[COMITE_ARQUITECTURA],[COMITE_ARQUITECTURA],Si,Si,No,"OpenTelemetry, OTLP, backends por modalidad (Datadog/Self-hosted)","16_Baseline_Tecnico_G7, 11_Despliegue_Operacion/* (Fase 7+)","ADR-020 Aprobada","Observabilidad distribuida con OpenTelemetry","Línea base; crítica para operación
INV-053,03_Arquitectura/,ADR-021_Mensajeria_Privada_RabbitMQ.md,MD,ADR-021,1.0,Aprobado,2026-07-16,[COMITE_ARQUITECTURA],[COMITE_ARQUITECTURA],Si,Si,No,"RabbitMQ con quorum queues para despliegue privado","ADR-014 (alternativa), 20_Plan_Pruebas_Concepto (POC-002)","ADR-021 Aprobada","Alternativa a EventBridge para instalaciones privadas","Línea base; crítica para multimodalidad
INV-054,04_Base_Datos/,01_Modelo_Conceptual.md,MD,GDP-DAT-001,0.1,Borrador para validación,2026-07-16,[ARQUITECTO_DATOS],[COMITE_ARQUITECTURA],Si,Si,No,"6 dominios, 20 invariantes conceptuales","02_Modelo_Logico, 16_Mapa_Dominios","Modelo conceptual",Contextos de dominio con propiedad explícita,Usar en diseño de entidades Fase 3
INV-055,04_Base_Datos/,02_Modelo_Logico.md,MD,GDP-DAT-002,0.1,Borrador para validación,2026-07-16,[ARQUITECTO_DATOS],[COMITE_ARQUITECTURA],Si,Si,No,"6 servicios × entidades, 20 invariantes","01_Modelo_Conceptual, 04_Diagrama_ER, 05_Diccionario_Datos","Modelo lógico",Entidades por servicio; diccionario lógico,Completar tras POC-001 validación de RLS
INV-056,04_Base_Datos/,04_Diagrama_ER.md,MD,GDP-DAT-004,0.1,Borrador lógico,2026-07-16,[ARQUITECTO_DATOS],[ARQUITECTO],Si,Si,No,"ER por servicio en Mermaid","02_Modelo_Logico, 05_Diccionario_Datos","ER lógico",Diagramas por contexto; falta físico,Enriquecer post-POC-001
INV-057,04_Base_Datos/,05_Diccionario_Datos.md,MD,GDP-DAT-005,0.1,Borrador lógico,2026-07-16,[ARQUITECTO_DATOS],[ARQUITECTO],Si,Si,No,"Columnas, tipos, índices, restricciones lógicas","02_Modelo_Logico, 04_Diagrama_ER","Diccionario lógico",Definiciones de campos lógicos,Completar físico tras POC-001
INV-058,04_Base_Datos/,06_Catalogo_Entidades.md,MD,GDP-DAT-006,0.1,Borrador para validación,2026-07-16,[ARQUITECTO_DATOS],[COMITE_ARQUITECTURA],Si,Si,No,"Mapeo conceptos → tablas por servicio","01_Modelo_Conceptual, 02_Modelo_Logico","Catálogo de entidades",Mapeo clara; 20+ entidades iniciales,Validar en POC-001; completar Fase 3
INV-059,04_Base_Datos/,07_Reglas_Integridad.md,MD,GDP-DAT-007,0.1,Borrador,2026-07-16,[ARQUITECTO_DATOS],[ARQUITECTO],Si,Si,No,"20 invariantes: unicidad, rango, referencial","01_Modelo_Conceptual, 02_Modelo_Logico","Reglas de integridad",Invariantes explícitas y medibles,Implementar en migraciones Fase 5+
INV-060,04_Base_Datos/,11_Estrategia_Migraciones.md,MD,GDP-DAT-011,0.1,Borrador; sin migraciones productivas,2026-07-16,[ARQUITECTO_DATOS],[LIDER_OPERACIONES],Si,Si,No,"node-pg-migrate, propiedad por servicio, reversibilidad","ADR-015, 16_Baseline_Tecnico_G7","Estrategia de migraciones",Enfoque de migraciones versionadas por servicio,Crear primeras migraciones Fase 5
INV-061,04_Base_Datos/,15_Modelo_Multitenant.md,MD,GDP-DAT-015,0.1,Borrador bloqueante hasta POC-001,2026-07-16,[ARQUITECTO_DATOS],[COMITE_ARQUITECTURA],Si,Si,No,"tenant_id, RLS, contexto transaccional","ADR-015, 20_Plan_Pruebas_Concepto (POC-001)","Modelo multitenant bloqueante",Diseño multitenant pero NO puede implementarse sin POC-001,BLOQUEANTE: POC-001 debe ejecutarse e informar
INV-062,05_Backend/,03_Convenciones_API.md,MD,GDP-BE-003,0.1,Borrador contractual,2026-07-16,[ARQUITECTO],[ARQUITECTO],Si,Si,No,"Rutas, auth, errores RFC 9457, paginación, idempotencia","04_Especificacion_OpenAPI, 07_Gestion_Errores","Convenciones API",Contrato de forma y errores explícito,Usar en desarrollo Fase 5
INV-063,05_Backend/,04_Especificacion_OpenAPI.yaml,YAML,GDP-BE-004,3.1,Borrador OpenAPI 3.1 validado,2026-07-16,[ARQUITECTO],[ARQUITECTO],Si,Si,No,"7 operaciones iniciales (flujo vertical)","03_Convenciones_API, 05_Catalogo_Endpoints","OpenAPI 3.1 contrato",Especificación formal de REST API; validado semánticamente,Enriquecer con todas operaciones Fase 5
INV-064,05_Backend/,05_Catalogo_Endpoints.md,MD,GDP-BE-005,0.1,Borrador,2026-07-16,[ARQUITECTO],[ARQUITECTO],Si,Si,No,"7 operaciones del flujo vertical","02_Catalogo_RF, 04_Especificacion_OpenAPI","Catálogo de endpoints",Documentación de operaciones iniciales,Expandir a todas operaciones Fase 5
INV-065,05_Backend/,06_Autenticacion_Autorizacion.md,MD,GDP-BE-006,0.1,Borrador para seguridad,2026-07-16,[RESPONSABLE_SEGURIDAD],[RESPONSABLE_SEGURIDAD],Si,Si,No,"JWT Keycloak, contexto tenant, autorización recurso, policy engine mínimo","ADR-013, RF-IAM-*, 05_Actores_Roles_Permisos","Autenticación y autorización",Esquema de seguridad claro; Keycloak centralizado,Implementar en Fase 5; validar POC-001
INV-066,05_Backend/,07_Gestion_Errores.md,MD,GDP-BE-007,0.1,Borrador contractual,2026-07-16,[ARQUITECTO],[ARQUITECTO],Si,Si,No,"RFC 9457, códigos: validation.failed, authorization.denied, etc.","03_Convenciones_API, 04_Especificacion_OpenAPI","Gestión de errores RFC 9457",Errores estructurados como Problem Details,Usar en todas respuestas Fase 5
INV-067,05_Backend/,08_Validaciones.md,MD,GDP-BE-008,0.1,Borrador contractual,2026-07-16,[ARQUITECTO],[ARQUITECTO],Si,Si,No,"Validación en 3 capas: DTO, aplicación, dominio","03_Convenciones_API, RF-*","Validaciones multicapa",Capas claramente separadas; guardrails explícitos,Implementar en cada servicio Fase 5
INV-068,05_Backend/,10_Procesamiento_Asincrono.md,MD,GDP-BE-010,0.1,Borrador contractual,2026-07-16,[ARQUITECTO],[ARQUITECTO],Si,Si,No,"Outbox, Inbox, Idempotencia key, DLQ, reintentos, compensación","19_Estrategia_Consistencia, 18_Catalogo_Eventos, 20_Plan_Pruebas_Concepto (POC-002)","Procesamiento asíncrono","Patrón outbox/inbox para garantizar consistencia","Implementar en Fase 5; validar POC-002
INV-069,05_Backend/,12_Idempotencia.md,MD,GDP-BE-012,0.1,Borrador contractual,2026-07-16,[ARQUITECTO],[ARQUITECTO],Si,Si,No,"Clave única, caché de respuesta, escritura transaccional","10_Procesamiento_Asincrono, RFC-*","Idempotencia obligatoria",Clave única por solicitud; respuesta cacheada,Implementar en Fase 5; crítica para confiabilidad
INV-070,05_Backend/,16_Especificacion_AsyncAPI.yaml,YAML,GDP-BE-016,3.0,Borrador AsyncAPI 3.0; sintaxis validada,2026-07-16,[ARQUITECTO],[ARQUITECTO],Si,Si,No,"32 eventos (EVT-001..032) + 7 comandos (CMD-001..007) con payloads","18_Catalogo_Eventos, 10_Procesamiento_Asincrono","AsyncAPI 3.0 contrato",Especificación formal de mensajes entre servicios; validado,Usar en Fase 5; mantener con EventBridge/RabbitMQ
INV-071,10_Pruebas/,01_Estrategia_Pruebas.md,MD,GDP-TST-001,0.1,Borrador para aprobación,2026-07-16,[LIDER_QA],[LIDER_QA],Si,Si,No,"Pirámide: unitarias, integración, E2E, carga, seguridad, accesibilidad","02_Plan_Pruebas, *_Casos_Prueba","Estrategia de pruebas",Pirámide clara; herramientas aprobadas,Ejecutar conforme cronograma Fase 6
